"episode","PC1","PC2","PC3","rating"
"Episode 49 - The Opera",0.343124379440367,-0.341816712746653,0.0867466689197043,54
"Episode 50 - The Virgin",-0.202074440627199,-0.256863257517806,-0.377285612570867,54
"Episode 51 - The Contest",0.457261413918604,0.0963689768852983,-0.516809945837037,175
"Episode 52 - The Airport",0.280781043797248,0.109229330255592,0.316510922802603,160
"Episode 53 - The Pick",0.0954236881446136,-0.237740605245756,0.228334409014348,109
"Episode 54 - The Movie",0.124992710353323,0.149173780778216,-0.186105347174782,54
"Episode 55 - The Visa",0.0960972055907289,-0.322655159566841,-0.29372815366186,54
"Episode 56 - The Shoes",0.000185176438265726,-0.419968363888582,0.13147021639252,72.5
"Episode 57 - The Outing",0.358396878520578,-0.039953747444704,-0.266024079139249,173
"Episode 58 - The Old Man",0.230419362072742,-0.210145798080422,-0.0862286700222948,36
"Episode 59 - The Implant",0.0462750925573033,-0.110444541337814,0.463254488708594,123.5
"Episode 60 - The Junior Mint",0.285886604562295,-0.151412751970495,-0.0621374244949445,148.5
"Episode 61 - The Smelly Car",0.455125154989433,0.0618393493569216,-0.0141121921169324,109
"Episode 62 - The Handicap Spot",-0.0338449859121129,-0.072412341421681,-0.404649543741791,91
"Episode 63 - The Pilot (1)",-0.0367678162612192,-0.434754711078873,-0.255294673005806,136.5
"Episode 64 - The Pilot (2)",0.0322245472383631,-0.354881815396999,-0.503637830782985,136.5
"Episode 65 - The Mango",0.142096560520707,-0.439190433463733,0.0377190592686237,123.5
"Episode 66 - The Puffy Shirt",0.206787622770357,-0.209708078988049,0.319455138915514,160
"Episode 67 - The Glasses",0.302494896281828,-0.126840918285703,-0.21871428163697,91
"Episode 68 - The Sniffing Accountant",0.443486650987302,-0.0887242101755474,0.370701212511186,54
"Episode 69 - The Bris",0.0137282599901032,-0.164864009702138,-0.104196276920526,36
"Episode 70 - The Lip Reader",0.144296327607591,-0.326632306408207,0.00905570400420541,109
"Episode 71 - The Non-Fat Yogurt",0.113849105692052,-0.394723126400889,0.0240135758316639,109
"Episode 72 - The Barber",0.197060668026472,-0.336683182365264,0.125628510939888,72.5
"Episode 73 - The Masseuse",0.382500790559265,-0.259706624400835,-0.0871776207881486,19.5
"Episode 74 - The Cigar Store Indian",0.241571241832113,-0.302927763892289,-0.0851585280551091,91
"Episode 75 - The Conversion",0.0619369072223606,-0.122587298974334,-0.230745883585599,54
"Episode 76 - The Stall",0.510561903807586,-0.330106016257239,0.0719663267836452,123.5
"Episode 77 - The Dinner Party",0.0385263936192343,0.465822172748262,0.118050232148467,72.5
"Episode 78 - The Marine Biologist",0.0121452259136692,-0.0105078159256517,-0.0954386103504366,172
"Episode 79 - The Pie",0.209099807662501,-0.22946894861936,0.0230164936326117,123.5
"Episode 80 - The Stand-In",0.154522145027233,-0.277096783747566,-0.11093936983471,15
"Episode 81 - The Wife",0.185043791358792,-0.315243670141106,0.0761698284435533,36
"Episode 82&83 - The Raincoats",0.0262562137049311,-0.160800281187645,-0.0954396013489311,109
"Episode 84 - The Fire",-0.034799922239174,-0.101287895370922,-0.133049799759379,136.5
"Episode 85 - The Hamptons",0.0649666460874365,-0.241443279046705,-0.188945333626851,168.5
"Episode 86 - The Opposite",0.610432307633512,-0.22305477671577,-0.449137862130748,175
"Episode 87 - The Chaperone",0.0330275540060781,-0.219885971323882,-0.299001566156805,36
"Episode 88 - The Big Salad",0.109397905063647,-0.341203012734634,-0.183583682075421,72.5
"Episode 89 - The Pledge Drive",0.166031092821271,-0.227723428034781,-0.144880096808017,72.5
"Episode 90 - The Chinese Woman",0.156964180031088,-0.0840514015927568,-0.182222309200957,54
